etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eemv,gauss,300,-0.09382501494861552,-0.10418071413247192,-0.10026440930558184,-0.11295036652322853,-0.1166981564557132,-0.06072165508630915,-0.06656496055491616,-0.06352138448023638,-0.0706118604832008,-0.0743496004092275
fem,gauss,300,-0.11278202051074344,-0.12282927978773808,-0.11893683997290672,-0.13118752474748763,-0.1352511857014093,-0.08033175799281216,-0.08618466369016081,-0.08301014170263071,-0.09001948255161037,-0.09408300092592332
ieem,gauss,300,-0.08620364818554696,-0.09524778029164684,-0.09234502101565936,-0.10367891127298876,-0.10793355289242364,-0.06119699706861407,-0.06614698378152191,-0.0638580163727097,-0.07005547108513666,-0.0742937244040954
psrm,gauss,300,-0.09995125053609334,-0.11001643044059806,-0.10665448225149277,-0.1191343718970362,-0.1232305502906707,-0.07015185633189151,-0.07604487655802494,-0.0732001733669856,-0.08044009484042085,-0.08451725304894728
vwo,gauss,300,0.1889413939292297,0.1870436426707806,0.1847105054912532,0.18030107045876584,0.17636529995418848,0.17240959546952417,0.17515770736607095,0.17150978390941476,0.17266003729752258,0.16874043339048292
eem,gauss,350,-0.01299545339841617,-0.01894391986556101,-0.01713827497433277,-0.02479807334675879,-0.02760648263885998,-0.00377702083825799,-0.00616732712130264,-0.0054123351389724,-0.00876559845047669,-0.01157407274981643
eemo,gauss,350,-0.06950106371149267,-0.07741553004253905,-0.07366718396524717,-0.08312670470935754,-0.08568884615528362,-0.04578022870456758,-0.04998997490812022,-0.0474930208400558,-0.05249614733300899,-0.0550543152245908
eemv,gauss,350,-0.08168928495564359,-0.09058925819002604,-0.08652400353229767,-0.09715823033692142,-0.09993591789029985,-0.05428086494134078,-0.05935143881410831,-0.05645977812939264,-0.06247860562000487,-0.06525232211829832
fem,gauss,350,-0.08454372500987434,-0.09279606458972744,-0.08883998479251927,-0.09865693689359369,-0.10144340605362594,-0.05905747140835683,-0.06363374283229886,-0.06087787242091838,-0.06626071719284013,-0.06904352885592534
ieem,gauss,350,-0.06759763726843025,-0.07532695982418702,-0.07208939827881225,-0.08152087650818506,-0.08466601598370084,-0.04706880784590563,-0.05108314808135361,-0.04896552935248095,-0.05390586230198901,-0.05703767879772592
psrm,gauss,350,-0.08032201252508124,-0.08890801274327523,-0.08524296723562172,-0.09561512568180223,-0.09856758724829442,-0.055719012790952,-0.06060981951357815,-0.05794110827470029,-0.06383043873030966,-0.06677316284198641
vwo,gauss,350,0.2202359923178668,0.2192096608233289,0.2174528127006482,0.21454983854494927,0.21173639225947616,0.20390436071075244,0.20702677663374755,0.2036054976614578,0.20549564523931005,0.2026917105148804
eem,gauss,400,0.00167717674687873,-0.00365800212449926,-0.00157791452907486,-0.00827117874490065,-0.01031589045669511,0.00969878900173291,0.00750981638419961,0.00843498552682815,0.00546749230220108,0.00342402389282292
eemo,gauss,400,-0.05826915502234136,-0.06519538684481571,-0.06151399677680937,-0.06963950757933565,-0.07157904293991202,-0.03810225375168226,-0.04185465055263343,-0.03946378194160453,-0.04384488978248808,-0.04577857752277805
eemv,gauss,400,-0.06226893734823582,-0.06989700150342044,-0.06597703138701355,-0.07493379909446066,-0.07690297582813951,-0.03959904870321867,-0.04403223959609302,-0.04129589675955116,-0.04646901545981354,-0.04843612422878469
fem,gauss,400,-0.05726369890376824,-0.06392793275240437,-0.06023269601931003,-0.06802554791936127,-0.0700093320139217,-0.03733187132986362,-0.0407197925861699,-0.03847033398367979,-0.04241715832337397,-0.0443989040900007
ieem,gauss,400,-0.05687353098171395,-0.06382095312990364,-0.06043716905303974,-0.06872872566908492,-0.07110338018941964,-0.03867417295240179,-0.04239632954200748,-0.04020472370616436,-0.04467521295455227,-0.04703756737654571
psrm,gauss,400,-0.06927818326047082,-0.07686998326787338,-0.07312191776597893,-0.08210249179541007,-0.08435792392148773,-0.04805294141415944,-0.05244107279644524,-0.04982170485597955,-0.0550001740108439,-0.05724921795448494
vwo,gauss,400,0.2312348260153909,0.23053444194913367,0.2289210326918215,0.2266880420889067,0.2245861557535552,0.21540033831721608,0.21832119036386263,0.2149986223976121,0.21685444904122503,0.21476090686606844
eem,gauss,450,0.01994822797343359,0.01624394624723097,0.01769886502909092,0.01298200329464033,0.01130238105647111,0.02140693837732555,0.02054870378728161,0.02062300325864064,0.01919049651900923,0.01751433411211387
eemo,gauss,450,-0.04805712637439301,-0.05415574290397886,-0.05065181526943402,-0.05770864549144639,-0.05920929697311847,-0.03101098572117735,-0.03433766211653474,-0.03211880795453473,-0.03595666705618598,-0.03745360045081397
eemv,gauss,450,-0.05131071333545926,-0.05775239057179995,-0.05416147430115722,-0.06163575442065806,-0.06322497439304783,-0.03331640598262558,-0.03699191206139381,-0.03462264118482795,-0.03887657818873327,-0.04046704967161262
fem,gauss,450,-0.04306110159759534,-0.04859612155679686,-0.04527930327729464,-0.05167678301194223,-0.05321723585524977,-0.0275352610132278,-0.03018315331032035,-0.0283589847103053,-0.03142969225097698,-0.03296780635793645
ieem,gauss,450,-0.04340533608581179,-0.04940303289647721,-0.04621506579187075,-0.05327943581637874,-0.05508031741301723,-0.028906247068948,-0.03203671038472381,-0.03012601822566687,-0.03385712596818236,-0.03565045887092856
psrm,gauss,450,-0.06234920367555652,-0.06912218234327715,-0.0654317935944092,-0.07331802241773644,-0.07515323551813577,-0.0436712808184687,-0.04768110713377607,-0.04509881317738961,-0.04975146443382559,-0.05158216474247767
vwo,gauss,450,0.24066314295191296,0.24001901759561173,0.2386191044018778,0.23666911861163192,0.2350921682675379,0.22620818507046583,0.22875450969506253,0.22570749197672488,0.22730044860554396,0.22572986877918452
eem,gauss,500,0.02730914707545599,0.02451106229625867,0.02556088193058221,0.02194748995042931,0.02052281873282855,0.02535416106770966,0.02510921283431127,0.02475877289277078,0.02404419540197717,0.02262477794129988
eemo,gauss,500,-0.03432925487381455,-0.03942959447295208,-0.0362732632168067,-0.04211836500046519,-0.04332685422309006,-0.02084766768370408,-0.0234030441441135,-0.02162126083252627,-0.02456425374672443,-0.02577167396416091
eemv,gauss,500,-0.04283746653172713,-0.04847139476135554,-0.04513711250126838,-0.05160838917746463,-0.05289040357478504,-0.02808860069842568,-0.03121931457036278,-0.02915199042377456,-0.03275389126402293,-0.0340391773186442
fem,gauss,500,-0.0371956015538859,-0.04198016329024386,-0.03892072790418905,-0.04439101137619181,-0.04571119150999172,-0.02419769592366745,-0.02636876208280911,-0.02480512485233118,-0.02730709992297186,-0.0286250906226166
ieem,gauss,500,-0.02625425535198786,-0.03140010661040501,-0.02847965322111894,-0.03448473860090634,-0.03581556138918586,-0.01487152896380053,-0.01744668343174197,-0.01582398887227222,-0.01888491535842024,-0.02020912972110431
psrm,gauss,500,-0.05679194368124618,-0.0632518157198737,-0.05942922948103052,-0.06683108925064721,-0.06828007743096214,-0.03877665167105658,-0.04267051345460418,-0.04002421354228493,-0.04447035454463426,-0.04591446458015502
vwo,gauss,500,0.24986621626279212,0.2496897199565204,0.24835880956091527,0.2471156904563064,0.245699575880879,0.2358096233466082,0.23865985471147663,0.23554867254073625,0.2376062023547652,0.236193411277097
eem,t,100,-0.33896284315148817,-0.3672889022586371,-0.405241753557805,-0.45830190180489794,-0.5072597343593696,-0.24487224588533732,-0.2616100234050776,-0.2739585668470119,-0.30396620030466226,-0.35240291074009417
eemo,t,100,-0.35386322628259725,-0.3820246332593633,-0.4135608621994129,-0.4636998608576496,-0.5098791530909766,-0.25171654464629034,-0.2682324643168527,-0.27723483292663503,-0.30501102268721175,-0.3506763307995275
eemv,t,100,-0.3353253499454394,-0.3624112861560525,-0.39554026681486626,-0.4446558957762863,-0.48761948346094575,-0.2398996853898674,-0.2561338515949705,-0.26662272932584097,-0.2945231481464279,-0.33692027535189045
fem,t,100,-0.34814549718277626,-0.3757440750862111,-0.4061191484997907,-0.4551822950079168,-0.5013200151585329,-0.2476920292458351,-0.2636551532813418,-0.2719933596952701,-0.29881384754769863,-0.3444801751802
ieem,t,100,-0.4385280306379262,-0.47040113752558527,-0.5077209120001387,-0.5651895050488506,-0.6253685034590994,-0.3256829570874163,-0.3442822058083187,-0.3553677551425383,-0.3872270058046652,-0.4467717088332243
psrm,t,100,-0.3493570157452046,-0.3778820571155917,-0.410680758379914,-0.4621591605207258,-0.5120469115203683,-0.2479225273138444,-0.2642527447082368,-0.27339860519525483,-0.30144435073411957,-0.3504939390166717
vwo,t,100,-0.17195206145415948,-0.19422743898049252,-0.23906888268192977,-0.2880710203745867,-0.338576095610967,-0.11914152894416108,-0.13062544259574232,-0.14941248822534955,-0.17653019713737733,-0.2263883862523187
eem,t,150,-0.20480139698624672,-0.2248002441235345,-0.23387175533548368,-0.2646647370883585,-0.2845334252940636,-0.1428964827314858,-0.15436582968524334,-0.1555627553419007,-0.17288775598163827,-0.19258382494283707
eemo,t,150,-0.2321077358834117,-0.2525659065919045,-0.25877796667320313,-0.28877422793985436,-0.3069264903574553,-0.1608790823786638,-0.17303737381029816,-0.17263678642929467,-0.18978456296001148,-0.2077611005451772
eemv,t,150,-0.219095181666188,-0.23878944383651757,-0.24591697773006263,-0.2753287822897939,-0.29285151588959746,-0.15324393908567424,-0.16482333165132268,-0.16508926362573292,-0.1818515728007916,-0.1991997586846017
fem,t,150,-0.239925142381274,-0.2604928298996541,-0.26673710680265617,-0.2969043473360014,-0.31548859972108373,-0.16805331553768416,-0.18034171217721412,-0.17981330102741178,-0.1971437685710794,-0.21560376317451632
ieem,t,150,-0.2906799325740479,-0.3143183215824944,-0.32168935247925484,-0.35664363803512356,-0.3832416837133207,-0.2090924420594447,-0.222799002089462,-0.22221963887136317,-0.2418154461442919,-0.26764271693194297
psrm,t,150,-0.22927901526893224,-0.24898919576831544,-0.25619871907322644,-0.2858338541445084,-0.3065806500207255,-0.1647663227031574,-0.17602580875060023,-0.17631861430132445,-0.1928129019613311,-0.21333599410664952
vwo,t,150,-0.0159588048913372,-0.02945989344564599,-0.04500536289872593,-0.07032748987186259,-0.09023790961395328,0.00234266928330672,-0.00359049929440116,-0.01104794061747874,-0.02430523112736641,-0.04401211347426875
eem,t,200,-0.13550298843297998,-0.1503245107249185,-0.15161452627904162,-0.1724357611226528,-0.18325617197397093,-0.0938786487378376,-0.1022320877277996,-0.10098796252404107,-0.11266109839519332,-0.12335871352085916
eemo,t,200,-0.1782321667897669,-0.19423376326162883,-0.1932720336755692,-0.21459566256950105,-0.2246488485555787,-0.12321440543227268,-0.13287232221851358,-0.1298685025038328,-0.142340198553964,-0.1523317566132367
eemv,t,200,-0.16574531475646906,-0.18114185806015237,-0.1808244156225154,-0.2016875506694615,-0.21153071200560636,-0.11542719241533234,-0.12437782042962174,-0.12200685117480511,-0.1338937418413252,-0.14371592480049616
fem,t,200,-0.18549372580885987,-0.20118072383238533,-0.2002468459477077,-0.22123602587801228,-0.2319337103801883,-0.13219453987188842,-0.14137622127932886,-0.1385405063063799,-0.1504896935223672,-0.16112677630780892
ieem,t,200,-0.20386043636702217,-0.22115339719765775,-0.2209447310986832,-0.2444046162664022,-0.25791560627787835,-0.1480469212585336,-0.15817997489682012,-0.15560628906616683,-0.16907584136655696,-0.18237506368365453
psrm,t,200,-0.1606005872691941,-0.17582092272599603,-0.17571812044593657,-0.1965439445208786,-0.20751638872060804,-0.11320059636606046,-0.1216514987673687,-0.11959797725369584,-0.13102087328604511,-0.1418853078552748
vwo,t,200,0.07800900861784461,0.06928255301721267,0.06219375252564815,0.04670354909051746,0.0363233522349916,0.07993891776498133,0.07721603156042542,0.07280917105342259,0.06571388417391862,0.05538519777362469
eem,t,250,-0.09447957251307708,-0.10659926659287404,-0.10497125765617174,-0.1210028841592746,-0.12782823305199498,-0.06176470551935462,-0.06856942435333967,-0.06641452541603571,-0.07542475378128695,-0.08214255328914877
eemo,t,250,-0.13821612900289795,-0.15181378978812793,-0.1480378685775765,-0.1650825676282292,-0.17115579114932492,-0.09147141106304728,-0.09960634760670922,-0.09583882359131662,-0.1057959895201568,-0.11183674264687922
eemv,t,250,-0.13580171947509426,-0.14853700880523205,-0.14583700790314738,-0.16215163989507217,-0.16833546506984928,-0.09565437999601246,-0.1032438439593082,-0.10022282899866068,-0.10978760851653836,-0.11595797689826716
fem,t,250,-0.14935422843202242,-0.1624919584202343,-0.15916292368781149,-0.17577248312821286,-0.18223052256585193,-0.10576987845742997,-0.11359046923846548,-0.11013555024948458,-0.11980437659143156,-0.12622507528207982
ieem,t,250,-0.15463621512977677,-0.16913862056728166,-0.1658960421333034,-0.18445926261961257,-0.19273825953380036,-0.10853095987494184,-0.1170083511942882,-0.11350045920694568,-0.1241926516097758,-0.13224635891966138
psrm,t,250,-0.1261499445955671,-0.1386022706359574,-0.13609663300842623,-0.15219681954923256,-0.15902076551402844,-0.08908672807880365,-0.0961011328802206,-0.0934437248870931,-0.10244215544254516,-0.10918086175149376
vwo,t,250,0.12180668455385668,0.11530579416002372,0.11144281334798097,0.10040107895006951,0.09408661482613308,0.11835831217525417,0.1168638741672951,0.113649079780107,0.10909148514931452,0.102814873747898
eem,t,300,-0.07236253644349365,-0.08266245318027104,-0.07998625813423127,-0.09312240803927506,-0.09782592576112184,-0.04618041938443146,-0.0520460241619804,-0.04963702881068118,-0.05714599950997835,-0.06178588588018087
eemo,t,300,-0.11261160385997314,-0.12410174126267769,-0.11935930472845813,-0.133221276216042,-0.13735791094963176,-0.07325662070506422,-0.08006171623839708,-0.07621682519832026,-0.08426571738282518,-0.08838829197132428
eemv,t,300,-0.11520930492728414,-0.1263849045954741,-0.12256734388940534,-0.13632425166683526,-0.1404514641006153,-0.08031222287464218,-0.08719366202922169,-0.08377891478525375,-0.09212197830939815,-0.09624787910639045
fem,t,300,-0.1263286244582678,-0.13742821105067382,-0.13317237220117548,-0.14667194378246007,-0.15101815269460817,-0.09002723426602537,-0.0967056663264511,-0.0931313242795422,-0.10110046225103242,-0.10542114168801868
ieem,t,300,-0.11981692552164198,-0.130984637310841,-0.1274357122149095,-0.14134308098165466,-0.1471528527084317,-0.08748047827179584,-0.0940449622787236,-0.09099277342699565,-0.09909998131191562,-0.10476841259648258
psrm,t,300,-0.09327943843265266,-0.10383572891062195,-0.10037890254837246,-0.11353145175350104,-0.11774279222147434,-0.06285406400431053,-0.06891130023067135,-0.06600515201294567,-0.07350104120750146,-0.07766698592806763
vwo,t,300,0.1548347154040729,0.15002128882984203,0.14758701565367488,0.1394952644130897,0.1351141408959994,0.14742611825166912,0.14691748608624533,0.1441131441686469,0.14130618026785993,0.136935290048465
eem,t,350,-0.04055790477162411,-0.04825702242978547,-0.04563705407372038,-0.05529825209457999,-0.0585792383608564,-0.02411709274392245,-0.02801956483743781,-0.02633921505789611,-0.03136880010586436,-0.03462210981183923
eemo,t,350,-0.08804166836661102,-0.0977384643190585,-0.0928588803885199,-0.10425736335470762,-0.10715443708709883,-0.05535836407941278,-0.06101673561802336,-0.05745040447214977,-0.06399335783667102,-0.06688811365943237
eemv,t,350,-0.08798929131097316,-0.0973564348588188,-0.09327919645414803,-0.1045225457040485,-0.1073809624308739,-0.05978450302777893,-0.06543181277672999,-0.06224447259601987,-0.06894871162936747,-0.07181212973977379
fem,t,350,-0.0924153156540102,-0.10147389719442464,-0.09707280111450452,-0.1078072475600258,-0.11070009579364634,-0.06372553527479148,-0.06884825848775819,-0.06572650685242626,-0.07171973410498922,-0.07460472356486327
ieem,t,350,-0.08951442944975252,-0.09887416361382852,-0.09503540178173732,-0.10639990462501364,-0.1103471168703152,-0.06368878626976746,-0.06910496697588946,-0.06621572669006874,-0.07276917560461875,-0.07667051152420379
psrm,t,350,-0.07381792055193367,-0.08271804030698994,-0.07899239835864313,-0.08979325414415318,-0.09282032184511169,-0.04932102708781741,-0.05430881615850931,-0.05163066366668743,-0.05767914845001885,-0.06067284203463581
vwo,t,350,0.18710312326208117,0.18367054283250284,0.1818518514843885,0.17594903838968814,0.17278264560423903,0.17697207213504254,0.17737468704479217,0.1745745874721918,0.17318964824162392,0.17003732902227603
eem,t,400,-0.02655037076293531,-0.0332542824823453,-0.0304876217381328,-0.03872763401378878,-0.04126256893168076,-0.01337052808318352,-0.01666191670965803,-0.01509270460740003,-0.01927928922021581,-0.02178468521832524
eemo,t,400,-0.07487790460212249,-0.08292675594996284,-0.07837591470341278,-0.08767567049185765,-0.09005328955743773,-0.04853235966949227,-0.0530757029048012,-0.05002807418910234,-0.05521675125970142,-0.05758599523182142
eemv,t,400,-0.06431241021593966,-0.07261325091890536,-0.06831768320987935,-0.07805454340473973,-0.08003365749412458,-0.03914334439186656,-0.0440586246739885,-0.04095521239660209,-0.04667386392716767,-0.04865437604557186
fem,t,400,-0.08420581296521691,-0.09280559996534428,-0.08801136701961332,-0.09796145327859508,-0.10010048128273943,-0.05608127146275034,-0.06109207432175263,-0.05773159994246747,-0.06345408724787698,-0.06558601931668447
ieem,t,400,-0.08308193584359612,-0.09187059662752133,-0.08772821765782808,-0.09818597672268917,-0.10134685854963443,-0.05971819042818843,-0.06492391482572826,-0.06193080091120261,-0.06811576942103062,-0.07127811364703912
psrm,t,400,-0.07033776429693735,-0.07838277934732923,-0.07446816391350826,-0.08402141472385437,-0.0864636611387739,-0.04866037183143112,-0.05325859454423223,-0.05053466979742993,-0.05598727295151985,-0.05839914066183521
vwo,t,400,0.22900685874025672,0.2271098061324706,0.2258071875319708,0.2221257728591801,0.2197823956441087,0.2167926529032976,0.21841094865783656,0.2157100806368008,0.2160349457668867,0.21370083557990713
eem,t,450,-0.01791406494991856,-0.0241733837521681,-0.0213055015892364,-0.02886369477162778,-0.03077308904995738,-0.00630180090846483,-0.00961983764261257,-0.00786803968463453,-0.01197345209661561,-0.01386213523134624
eemo,t,450,-0.06620028960458924,-0.07352489709292724,-0.0690113040132464,-0.0773414858090762,-0.07923685325914621,-0.04232222341522024,-0.04645613336107082,-0.04352375032104139,-0.04817957400999348,-0.05006374491233823
eemv,t,450,-0.05989119566587576,-0.06730376924853558,-0.06310709465472024,-0.07166969996458022,-0.0733467544063899,-0.03804229425421209,-0.04237502030929061,-0.03952287999133571,-0.04450469879041783,-0.04618260208171229
fem,t,450,-0.05921108239982395,-0.06606836707299069,-0.06192355656585077,-0.06977710366030192,-0.07136868807750547,-0.03812861529524437,-0.04184251799492511,-0.03924608162714353,-0.04347345777432437,-0.04505528618394079
ieem,t,450,-0.06223816104153511,-0.0699917441853358,-0.06579799503285556,-0.0748649500301567,-0.07720179452764621,-0.04188191070826948,-0.04619377383739274,-0.04348684329179107,-0.04855127071563557,-0.05087936350068396
psrm,t,450,-0.05486898689257216,-0.06175667385279049,-0.05802608473293948,-0.06609558082839714,-0.06795314851647717,-0.03756590679007416,-0.04120224886706469,-0.03895253097330533,-0.04325064985520829,-0.04509801233015294
vwo,t,450,0.2291061263307899,0.22702583330224457,0.22609840759755165,0.2224438708889697,0.2204574883765193,0.21914172022242115,0.22021572127353176,0.21789849078764528,0.21777898920669797,0.21580063871453609
eem,t,500,-0.01044548240266009,-0.01571888025423518,-0.01318137099771822,-0.01951429026889046,-0.02116455416492581,-0.00259771024675483,-0.00524307714405182,-0.00388142775426994,-0.00717993881978589,-0.00881193200729314
eemo,t,500,-0.06097182102015752,-0.06754396504522973,-0.06329026409183684,-0.07068221636253297,-0.07224276447396351,-0.03989589686149351,-0.04371235233563002,-0.04092025492617694,-0.04517160001874026,-0.04672215167606696
eemv,t,500,-0.05784373250280975,-0.0647159964293577,-0.06058548098082137,-0.06842031918867873,-0.0698067775690846,-0.0382149822914668,-0.04234541992450729,-0.03953923689641001,-0.04422706707776859,-0.04561345723827682
fem,t,500,-0.04499760838165332,-0.05102195435859945,-0.04716308577451538,-0.05398823532242602,-0.05516329117568391,-0.02695593543751499,-0.03019062751807004,-0.02784354852482035,-0.03149325219904642,-0.03266124119958626
ieem,t,500,-0.06106926117773943,-0.0688304984541154,-0.06440597023200702,-0.07335247457161204,-0.07535317313227086,-0.04066030604466986,-0.0454206133785096,-0.04228861071020647,-0.0477663566642402,-0.04972382388682955
psrm,t,500,-0.04884632578078682,-0.05516655263562525,-0.05148128501879992,-0.05877961888315321,-0.06025604886490801,-0.03300887298933996,-0.03643494573450779,-0.03418737639209032,-0.03817105572326727,-0.03963850861625837
vwo,t,500,0.24109368996751776,0.23970576849869796,0.23882912334488424,0.23617392519435745,0.23444041122623044,0.23073910267344624,0.23220767649535473,0.22986008381273665,0.23034726765958005,0.22862419758501645
